Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
REDECARD SOCIEDADE DE CRÉDITO DIRETO S.A.;46743943;ITAU - PRUDENCIAL;10069;80099;n1;2;43;SAO PAULO;SP;06/2025;18.215.490;0;1;11.903.541;0;6.311.949;882.332;2;0
BANCO SOFISA S.A.;60889128;SOFISA - PRUDENCIAL;31873;80271;b1;2;8;SAO PAULO;SP;06/2025;17.270.055;6.158.530;9.417.235;16.125.416;15.321.336;1.144.639;70.125;23;0
BANCO VOLVO BRASIL S.A.;58017179;VOLVO - PRUDENCIAL;;80769;b2;3;8;CURITIBA;PR;06/2025;17.248.646;14.416.111;1.705.139;13.448.580;13.324.746;3.800.066;229.545;2;0
BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;7450604;BANK OF CHINA (BRASIL) - PRUDENCIAL;32119;80295;b1;3;8;SAO PAULO;SP;06/2025;16.998.753;8.345.445;4.637.846;15.527.376;14.632.761;1.471.377;7.061;9;0
BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;43815158;BTG PACTUAL - PRUDENCIAL;49944;80336;n2;2;15;RIO DE JANEIRO;RJ;06/2025;16.707.879;0;247.768;14.756.517;1.150;1.951.362;172.714;6;0
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;MERCADO PAGO IP - PRUDENCIAL;;84820;n1;3;14;OSASCO;SP;06/2025;16.544.203;5.986.397;1.580.451;15.146.452;13.425.344;1.397.750;-75.883;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;;;;b3S;2;9;BEBEDOURO;SP;06/2025;16.533.104;8.675.089;2.392.508;13.200.634;11.580.909;3.332.470;251.681;0;127
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO - PRUDENCIAL;10045;80075;n1;2;19;OSASCO;SP;06/2025;16.392.176;6.823.587;8.185.649;12.090.658;10.884.892;4.301.518;214.217;2;0
SCANIA BANCO S.A.;11417016;SCANIA - PRUDENCIAL;;80776;b2;3;8;SAO BERNARDO DO CAMPO;SP;06/2025;16.221.298;15.671.633;967;14.865.181;14.760.165;1.356.117;-16.151;2;0
BANCO JOHN DEERE S.A.;91884981;BRADESCO - PRUDENCIAL;;80075;b1;2;8;OSASCO;SP;06/2025;16.064.676;14.607.939;0;11.835.667;11.533.782;4.229.009;56.046;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;;;;b3C;2;9;RIBEIRAO PRETO;SP;06/2025;15.690.413;0;2.137.048;14.943.928;702.130;746.485;57.110;0;0
BANCO GM S.A.;59274605;GM - PRUDENCIAL;;80848;b2;3;8;SAO PAULO;SP;06/2025;15.687.948;12.159.697;156.068;12.905.715;11.053.269;2.782.233;179.563;2;0
BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;33987793;UBS (BRASIL) - PRUDENCIAL;30771;80219;b2;3;13;SAO PAULO;SP;06/2025;15.593.594;5.310.387;3.208.712;9.499.567;3.939.445;6.094.027;565.376;3;0
BANCO NACIONAL S.A.;17157777;BTG PACTUAL - PRUDENCIAL;49944;80336;b2;2;8;RIO DE JANEIRO;RJ;06/2025;15.507.630;0;326.564;6.892.875;0;8.614.755;1.191.899;1;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;;;;b3S;2;9;BLUMENAU;SC;06/2025;15.375.445;8.393.176;637.442;12.123.942;10.883.239;3.251.503;390.079;0;115
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;14.960.535;15.702;268.162;3.080.845;2.098.050;11.879.690;275.866;1;0
BANCO BRADESCARD S.A.;4184779;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;14.854.738;7.962.369;17;14.628.295;6.773.094;226.444;-11.257;2;0
BR PARTNERS BANCO DE INVESTIMENTO S.A.;13220493;BR PARTNERS - PRUDENCIAL;;80934;b2;2;13;SAO PAULO;SP;06/2025;14.623.794;486.194;12.722.478;13.930.109;12.764.215;693.685;21.295;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE - PRUDENCIAL;;80532;b1;3;8;SAO PAULO;SP;06/2025;14.623.173;3.738.889;3.944.309;11.738.036;8.489.050;2.885.137;182.961;2;0
BANCO MIZUHO DO BRASIL S.A.;61088183;MIZUHO - PRUDENCIAL;;80697;b1;3;8;SAO PAULO;SP;06/2025;14.539.162;2.930.071;6.730.084;13.265.955;12.329.279;1.273.206;66.632;2;0
BANCO MASTER DE INVESTIMENTO S.A.;9526594;BANCO MASTER - PRUDENCIAL;50201;80367;b2;2;13;RIO DE JANEIRO;RJ;06/2025;14.472.654;0;47.156;14.376.842;14.372.452;95.812;-20.510;2;2
WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;BANCO MASTER - PRUDENCIAL;50201;80367;n1;2;14;RIO DE JANEIRO;RJ;06/2025;14.364.132;7.436.759;1.052.517;14.067.352;7.555.833;296.780;-244.694;2;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER - PRUDENCIAL;30379;80185;n1;3;19;SAO PAULO;SP;06/2025;14.347.136;3.255.791;1.748.371;3.853.309;2.410.698;10.493.828;381.681;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;;81421;b2;3;8;PORTO ALEGRE;RS;06/2025;14.156.765;12.940.865;0;12.893.158;11.673.888;1.263.607;-94.257;3;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;;;;b3C;2;9;SAO PAULO;SP;06/2025;14.075.609;0;8.670.570;13.462.188;0;613.420;21.805;0;1
