,conglomerado,cidade,data_base,indice_basileia
125,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.,PIMENTA BUENO,2023-03-01,19.44
126,BCO DA CHINA BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,17.94
127,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG",SARANDI,2023-03-01,15.48
128,BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL,PORTO ALEGRE,2023-03-01,30.71
129,RENDIMENTO - PRUDENCIAL,SAO PAULO,2023-03-01,16.27
130,COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO,MARINGA,2023-03-01,16.68
131,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP",MARECHAL CANDIDO RONDON,2023-03-01,15.33
132,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE,BELO HORIZONTE,2023-03-01,16.59
133,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,SAO MIGUEL D'OESTE,2023-03-01,17.82
134,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS",ENCANTADO,2023-03-01,35.05
135,BANCO VOITER - PRUDENCIAL,SAO PAULO,2023-03-01,11.27
136,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS",ARAPUTANGA,2023-03-01,13.42
137,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC",TAPEJARA,2023-03-01,16.74
138,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,VENDA NOVA DO IMIGRANTE,2023-03-01,29.37
139,COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES,MARAU,2023-03-01,16.85
140,BCO LUSO BRASILEIRO S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,12.58
141,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO REGIÕES DAS CULTURAS - SICREDI DAS CULTURAS RS/MG",IJUI,2023-03-01,20.7
142,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG - SICREDI REGIÃO CENTRO RS/MG",SANTA MARIA,2023-03-01,22.03
143,HAITONG - PRUDENCIAL,SAO PAULO,2023-03-01,14.6
144,COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP,ARAGUARI,2023-03-01,18.25
145,YAMAHA MOTOR - PRUDENCIAL,GUARULHOS,2023-03-01,24.29
146,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO - SICREDI OURO BRANCO RS/MG",TEUTONIA,2023-03-01,21.39
147,COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER,FRANCISCO BELTRAO,2023-03-01,17.47
148,COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES,VITORIA,2023-03-01,14.94
149,COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC,ITAPEMA,2023-03-01,15.29
150,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL",CRISTALINA,2023-03-01,14.99
151,"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP",SAO JOAO,2023-03-01,20.74
152,COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL,FLORIANOPOLIS,2023-03-01,20.36
153,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP,MANDAGUARI,2023-03-01,19.73
154,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC/MG",PASSO FUNDO,2023-03-01,18.43
155,HP FINANCIAL SERVICES AM S.A - PRUDENCIAL,BARUERI,2023-03-01,46.15
156,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTERESTADOS - SICREDI INTERESTADOS RS/ES",PELOTAS,2023-03-01,19.3
157,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE IBIRAIARAS - SICREDI IBIRAIARAS RS/MG",IBIRAIARAS,2023-03-01,22.88
158,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC",JOINVILLE,2023-03-01,18.32
159,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ESSÊNCIA RS/ES - SICREDI ESSÊNCIA",ITAQUI,2023-03-01,27.34
160,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG",LAJEADO,2023-03-01,20.24
161,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP",TOLEDO,2023-03-01,14.11
162,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS",CAMPO GRANDE,2023-03-01,19.1
163,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB CREDIAUC,CONCORDIA,2023-03-01,16.62
164,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO",JOAO PESSOA,2023-03-01,28.73
