Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;30159;80147;b1;1;8;VITORIA;ES;03/2023;346.301;24;858.833;0;62;17.032;1.222.252;-918.475;-1.247;-24;0;-74.684;-994.431;227.821;31.522;45.914;-100.392;-86.544;-21.208;17.146;21.735;-34.832;-126.659;101.162;107;101.269;-23.743;-6.964;70.562;0
BANCO ORIGINAL S.A.;92894922;ORIGINAL - PRUDENCIAL;51781;80903;b1;2;8;SAO PAULO;SP;03/2023;779.753;0;314.907;51.713;579;0;1.146.953;-611.030;-10.434;0;0;-1.159.968;-1.781.432;-634.479;105.415;33.205;-93.587;-437.379;-30.151;-1.503;26.948;-433.418;-830.469;-1.464.949;1.651;-1.463.297;666.804;-22.579;-819.073;0
BANCO CSF S.A.;8357240;BCO CSF S.A. - PRUDENCIAL;;81610;b2;2;8;SAO PAULO;SP;03/2023;1.091.885;0;28.015;0;0;0;1.119.900;-113.144;0;0;0;-829.978;-943.122;176.778;227.472;162.960;-55.039;-317.574;-64.699;29.374;15.492;-162.167;-164.182;12.596;0;12.596;4.764;0;17.360;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;51255;80556;b1;2;8;SAO PAULO;SP;03/2023;43.053;0;722.530;-37.162;304.878;73.215;1.106.513;-352.758;-9.166;0;0;-8.790;-370.714;735.799;202.832;3.579;-310.807;-80.711;-32.314;0;142.407;-295.530;-370.543;365.256;0;365.256;-126.069;0;239.186;0
BANCO AGIBANK S.A.;10664513;AGIBANK - PRUDENCIAL;51956;83694;b1;2;2;CAMPINAS;SP;03/2023;936.544;0;94.072;11.569;0;0;1.042.185;-421.917;0;0;0;-181.932;-603.850;438.335;5.400;18.797;-22.592;-389.149;-30.986;53.408;1.482;-9.294;-372.934;65.402;104;65.505;-4.836;-2.317;58.352;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL - PRUDENCIAL;20152;80123;b1;2;8;BELO HORIZONTE;MG;03/2023;988.388;0;60.887;-10.500;75;766;1.039.616;-379.469;-160;0;0;-108.616;-488.246;551.370;17.285;72.731;-133.858;-202.151;-38.865;31.269;131.079;-331.292;-453.802;97.568;-1.730;95.838;-16.094;-11.619;68.125;0
BANCO MASTER S/A;33923798;BANCO MASTER - PRUDENCIAL;50201;80367;b1;2;2;RIO DE JANEIRO;RJ;03/2023;841.625;0;103.551;49.108;13.538;2.094;1.009.915;-716.376;0;0;0;11.345;-705.031;304.884;16.984;407;-32.354;-198.371;-14.752;45.352;6.156;-15.174;-191.752;113.132;-170;112.962;-24.385;-17.641;70.936;0
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;03/2023;487.990;0;459.116;0;0;0;947.106;-182.736;-330.056;0;-439;-121.393;-634.624;312.482;171.983;52.095;-167.747;-88.575;-42.752;0;469.467;-232.829;161.643;474.125;163;474.288;-187.600;0;286.687;0
BANCO C6 CONSIGNADO S.A.;61348538;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;03/2023;909.196;0;25.727;0;0;0;934.923;-553.777;0;0;0;-84.868;-638.644;296.279;16;10.309;-13.839;-78.969;-13.610;0;11.405;-347.048;-431.737;-135.458;8.741;-126.717;57.378;-852;-70.191;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU - PRUDENCIAL;10069;80099;n1;2;14;SAO PAULO;SP;03/2023;895.837;0;3.926;0;0;0;899.764;-196.169;-323;0;0;-751.044;-947.536;-47.773;269.343;110.343;-4.535;-162.662;-59.415;0;127.103;-344.870;-64.693;-112.466;-111;-112.577;44.792;-388;-68.173;0
BANCO BANDEPE S.A.;10866788;SANTANDER - PRUDENCIAL;30379;80185;b1;2;8;SAO PAULO;SP;03/2023;0;0;830.591;0;0;0;830.591;-656.259;0;0;0;0;-656.259;174.332;0;0;0;-669;-9.676;0;188.430;-1.511;176.573;350.905;0;350.905;-156.448;0;194.456;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;;81407;b2;2;8;CURITIBA;PR;03/2023;716.663;22.789;34.205;38.801;0;0;812.457;-403.216;-139.149;-19.407;0;-110.559;-672.331;140.126;2.859;109;-14.154;-31.699;-14.535;0;18.372;-35.423;-74.471;65.655;401;66.057;-27.883;-1.984;36.189;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;51516;80673;b1;2;8;SAO PAULO;SP;03/2023;135.840;0;1.035.022;-431.758;52.168;0;791.272;-598.519;-143.223;0;0;1.853;-739.888;51.383;97.728;561;-170.345;-36.776;-16.562;-96;195.015;-38.842;30.685;82.068;-215;81.853;-16.023;-5.550;60.280;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;81555;b1;2;8;SAO PAULO;SP;03/2023;247.194;0;391.901;72.917;0;0;712.012;-314.168;-35.543;0;-5.175;-4.244;-359.130;352.882;50.126;216;-82.366;-59.163;-20.113;0;392.455;-213.943;67.213;420.096;254;420.350;-186.127;-6.417;227.806;0
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA - PRUDENCIAL;51293;80570;b2;2;13;SAO PAULO;SP;03/2023;139.166;0;637.303;-83.302;14.363;0;707.531;-713.220;-67.694;0;0;1.921;-778.993;-71.462;16.383;541;-34.799;-12.484;-4.567;19.821;140.201;-61.031;64.064;-7.398;69;-7.329;14.202;-4.663;2.210;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;BCO DO EST. DO PA S.A. - PRUDENCIAL;;81586;b1;1;8;BELEM;PA;03/2023;590.763;0;94.357;0;1.474;13.726;700.320;-292.245;-2.587;0;0;-48.820;-343.652;356.668;10.260;39.145;-153.264;-122.463;-23.449;0;14.163;-17.632;-253.239;103.429;370;103.799;-45.831;-8.680;49.288;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ - PRUDENCIAL;51262;80563;b2;2;8;SAO BERNARDO DO CAMPO;SP;03/2023;645.439;0;15.629;12.415;0;0;673.483;-348.890;-186.081;0;0;-23.067;-558.038;115.444;0;3.692;-24.994;-30.114;-7.374;2.698;24.472;-9.893;-41.513;73.931;-18.831;55.101;-20.501;0;34.600;0
BANCOSEGURO S.A.;10264663;PAGSEGURO - PRUDENCIAL;52182;84813;b1;2;8;SAO PAULO;SP;03/2023;703.492;0;33.901;-74.395;0;2.763;665.761;-529.853;0;0;0;-3.087;-532.940;132.821;8.840;0;-13.244;-20.687;-35.440;0;1.511;-64.156;-123.176;9.645;-12;9.633;2.954;-15.585;-2.999;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO - PRUDENCIAL;10045;80075;n1;2;19;OSASCO;SP;03/2023;3.239;442.368;217.686;0;0;0;663.293;-221.971;0;-316.626;0;155;-538.442;124.851;251;0;0;-3.469;-10.067;639;71.636;-19.105;39.884;164.735;-599;164.136;-49.485;0;114.651;0
BANCO DIGIMAIS S.A.;92874270;BANCO DIGIMAIS - PRUDENCIAL;;81799;b1;2;8;SAO PAULO;SP;03/2023;217.015;0;441.016;0;0;0;658.031;-199.836;0;0;0;-319.614;-519.450;138.581;12.536;18.169;-10.594;-46.969;-20.830;99;15.923;-9.069;-40.734;97.847;-3.437;94.410;-42.026;0;52.384;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO - PRUDENCIAL;51444;80642;n1;2;14;SAO PAULO;SP;03/2023;626.097;0;9.045;0;0;0;635.142;-137.529;0;0;0;-443.078;-580.607;54.536;184.936;98.594;-20.855;-180.269;-38.470;1.760;14.173;-174.352;-114.482;-59.946;197;-59.749;26.095;-2.876;-36.530;0
